"DU","Season","Model Type","Fixed Effects Covariates","Random Effects Covariates","AIC","AICw","AUC"
"47","DU8","Late Winter","GLMM with Functional Response","Beetle1to5, A_Beetle1to5, Beetle1to5*A_Beetle1to5","(1 | UniqueID)",258972.4955086,0,0.67383183203717
"48","DU8","Late Winter","GLMM with Functional Response","Beetle6to9, A_Beetle6to9, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",259550.220919474,0,0.669681825055544
"49","DU8","Summer","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5, Beetle6to9","(Beetle1to5 | UniqueID), (Beetle6to9 | UniqueID)",237084.465925206,1,0.672918225847925
"50","DU8","Summer","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5","(Beetle1to5 | UniqueID)",237366.04435828,0,0.670736250047043
"51","DU8","Summer","GLMM with Individual and Year (UniqueID) Random Effect","Beetle6to9","(Beetle6to9 | UniqueID)",238414.026729891,0,0.6616657686276
"52","DU8","Summer","GLMM with Functional Response","Beetle1to5, Beetle6to9, A_Beetle1to5, A_Beetle6to9, Beetle1to5*A_Beetle1to5, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",238435.103409916,0,0.661600269874265
"53","DU8","Summer","GLMM with Functional Response","Beetle1to5, A_Beetle1to5, Beetle1to5*A_Beetle1to5","(1 | UniqueID)",238498.414285302,0,0.661050985652891
"54","DU8","Summer","GLMM with Functional Response","Beetle6to9, A_Beetle6to9, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",238643.839372446,0,0.659697589233959
"55","DU9","Early Winter","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5, Beetle6to9","(Beetle1to5 | UniqueID), (Beetle6to9 | UniqueID)",7638.14815788358,0.001,0.633847077922078
"56","DU9","Early Winter","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5","(Beetle1to5 | UniqueID)",7632.74144513694,0.011,0.633284235209235
"57","DU9","Early Winter","GLMM with Individual and Year (UniqueID) Random Effect","Beetle6to9","(Beetle6to9 | UniqueID)",7646.38511584276,0,0.629622402597403
"58","DU9","Early Winter","GLMM with Functional Response","Beetle1to5, Beetle6to9, A_Beetle1to5, A_Beetle6to9, Beetle1to5*A_Beetle1to5, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",7626.17916372977,0.3,0.634126370851371
"59","DU9","Early Winter","GLMM with Functional Response","Beetle1to5, A_Beetle1to5, Beetle1to5*A_Beetle1to5","(1 | UniqueID)",7624.52079745962,0.688,0.633268578643579
"60","DU9","Early Winter","GLMM with Functional Response","Beetle6to9, A_Beetle6to9, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",7644.24565163315,0,0.629914538239538
"61","DU9","Late Winter","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5, Beetle6to9","(Beetle1to5 | UniqueID), (Beetle6to9 | UniqueID)",17365.0435723311,0.912,0.62946949235275
"62","DU9","Late Winter","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5","(Beetle1to5 | UniqueID)",17424.310314724,0,0.622362159670246
"63","DU9","Late Winter","GLMM with Individual and Year (UniqueID) Random Effect","Beetle6to9","(Beetle6to9 | UniqueID)",17373.5826815266,0.013,0.626872396680768
"64","DU9","Late Winter","GLMM with Functional Response","Beetle1to5, Beetle6to9, A_Beetle1to5, A_Beetle6to9, Beetle1to5*A_Beetle1to5, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",17370.0687424642,0.074,0.628364762989478
"65","DU9","Late Winter","GLMM with Functional Response","Beetle1to5, A_Beetle1to5, Beetle1to5*A_Beetle1to5","(1 | UniqueID)",17425.4848967,0,0.621960407853346
"66","DU9","Late Winter","GLMM with Functional Response","Beetle6to9, A_Beetle6to9, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",17378.5084482816,0.001,0.625977424341035
"67","DU9","Summer","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5, Beetle6to9","(Beetle1to5 | UniqueID), (Beetle6to9 | UniqueID)",32009.0005443226,0.032,0.662237556425886
"68","DU9","Summer","GLMM with Individual and Year (UniqueID) Random Effect","Beetle1to5","(Beetle1to5 | UniqueID)",32011.2494115991,0.01,0.660784250857306
"69","DU9","Summer","GLMM with Individual and Year (UniqueID) Random Effect","Beetle6to9","(Beetle6to9 | UniqueID)",32005.5714877167,0.176,0.661899191880189
"70","DU9","Summer","GLMM with Functional Response","Beetle1to5, Beetle6to9, A_Beetle1to5, A_Beetle6to9, Beetle1to5*A_Beetle1to5, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",32006.7593609423,0.097,0.660669684474722
"71","DU9","Summer","GLMM with Functional Response","Beetle1to5, A_Beetle1to5, Beetle1to5*A_Beetle1to5","(1 | UniqueID)",32009.5649349205,0.024,0.660744823988011
"72","DU9","Summer","GLMM with Functional Response","Beetle6to9, A_Beetle6to9, Beetle6to9*A_Beetle6to9","(1 | UniqueID)",32002.9198803089,0.662,0.66049003870517
